CoreSize,left peak dmdH_peak,left peak He_peak,left peak fwhm_left,left peak fwhm_right,right peak dmdH_peak,right peak He_peak,right peak fwhm_left,right peak fwhm_right
0,123.4006928003887,-0.00013299458656526846,0.005207787530381721,-0.005464134813299777,122.84414067936834,7.086100672078576e-05,-0.005271794118883937,0.005440625476948706
1,134.72243702603024,-4.948054434177793e-05,0.004439919921520423,-0.00454333243676896,132.757030743915,1.544633277620889e-05,-0.004535347588836423,0.004513881306841879
2,140.5121832017921,-8.953518916064519e-05,0.003807032197493907,-0.003852498420829812,136.46882541329333,-2.5307528334336093e-05,-0.004074263924750792,0.004047149411066567
