sigma,left peak dmdH_peak,left peak He_peak,left peak fwhm_left,left peak fwhm_right,right peak dmdH_peak,right peak He_peak,right peak fwhm_left,right peak fwhm_right
0,28.76890794430664,-0.0034747205686808304,0.01406727284213731,-0.015493497251341795,28.883519625372795,0.0009836305956412604,-0.014771820085676308,0.014643613986557412
1,29.823401380562224,-0.0009913007636379945,0.01478640168807397,-0.014187356164470317,30.23739416433138,0.0009836305956412604,-0.013720299357278046,0.013582031037607942
2,34.668524906444716,-0.0010164021037567302,0.009402161271394998,-0.00936702019148431,34.586883865891174,-0.00026842656220597854,-0.01080696921033791,0.010451563516611206
3,43.54240315086507,-0.0009913007636379945,0.005417780059334882,-0.007940157727221628,44.291390364730766,0.0023483473797927005,-0.00565459161550288,0.008098129096569023
4,48.899049950418714,-0.01056679721086444,0.0022894057508151314,-0.012354838205297768,52.09093327581452,0.010083118376753434,-0.0021221810749952846,0.01206678000537657
