sigma,left peak dmdH_peak,left peak He_peak,left peak fwhm_left,left peak fwhm_right,right peak dmdH_peak,right peak He_peak,right peak fwhm_left,right peak fwhm_right
0,216.56160008461103,-0.001375992244780914,0.0011335198216042906,-0.0036169457238965346,205.06471515150042,0.0014894964491469274,-0.001287525383756902,0.003885072036583152
1,183.86499707319376,-0.0015932097316487558,0.0015138623459075786,-0.00449873006750507,194.12679364686076,0.0019151989637093323,-0.001262443486909418,0.0042991854264079225
2,125.45316093871214,-0.002434988523103763,0.0011460659080946034,-0.007592755615429427,130.5027521448396,0.004301230883588555,-0.0013920109519246575,0.007336921969729609
3,102.38791037627479,-0.004790041387884942,0.0015973852127652028,-0.010080706534926756,97.79688888677107,0.005603678017799128,-0.0018137145761877816,0.010160792777343103
4,118.5484881124767,-0.010434892209390558,-0.006065760190400761,-0.012272318690376673,112.5509971310692,0.010414038987439906,0.005678025318872768,0.012302615032377878
