sigma,left peak dmdH_peak,left peak He_peak,left peak fwhm_left,left peak fwhm_right,right peak dmdH_peak,right peak He_peak,right peak fwhm_left,right peak fwhm_right
0,225.43015892823445,-0.001350917697138546,0.0011000614166116682,-0.003480908079019525,217.65817290464676,0.001577203041299346,-0.0010659027766775446,0.0038110817932281668
1,194.95056610947327,-0.0018102382444437227,0.001183701433001609,-0.00421664721702333,198.0474980504828,0.0017274852756216693,-0.0011997301093770382,0.004291003220779443
2,130.392541746133,-0.004124470437855782,0.0016516601377430664,-0.006937149870482388,140.15681262231843,0.0027139955810680004,-0.0014170819175133918,0.006634403084590177
3,98.11921730396095,-0.004907893110457141,0.0017643453967196357,-0.010250253263186024,100.55155594769545,0.00310769091640072,-0.0016300907779224557,0.010200453624699676
4,111.31534722920448,-0.010230463743871262,-0.006316691763269473,-0.012216013096463588,112.60072570157182,0.01021306169716099,0.0018046759731898355,0.0030352558984212234
