sigma,left peak dmdH_peak,left peak He_peak,left peak fwhm_left,left peak fwhm_right,right peak dmdH_peak,right peak He_peak,right peak fwhm_left,right peak fwhm_right
0,155.8757097839939,-0.00026284193920057293,0.002978659206563647,-0.0033818667969730525,166.23368798243837,0.0003808120603074852,-0.0026794073666650195,0.003134584747118056
1,164.1608781495694,-0.00047643510759059,0.002717453933165416,-0.0031669875578967605,161.62708510624392,0.0005148209797101591,-0.002534049026040343,0.0033536518058017817
2,143.53199743614306,-0.0009913007636379945,0.002783838402494453,-0.004163400799748219,154.94121062684115,0.0007869490352186936,-0.0023011957030498074,0.0038973984039066514
3,119.74209055768254,-0.0013174816552784395,0.0029869431847278326,-0.005801747555368078,128.6577357204057,0.0011133057492043728,-0.0023261599806020843,0.005742257010781326
4,89.90958937691154,-0.002089550933980865,0.002035386384924586,-0.010400923232625434,86.41146913389065,0.0013265376190918535,-0.0023261599806020843,0.010250852735093541
