sigma,left peak dmdH_peak,left peak He_peak,left peak fwhm_left,left peak fwhm_right,left peak fwhm,right peak dmdH_peak,right peak He_peak,right peak fwhm_left,right peak fwhm_right,right peak fwhm
0,12078666.79020038,0.0006282151815625863,0.009907950898520881,-0.009357441738412598,0.019265392636933477,12154280.845758202,-0.0006282151815625709,-0.009907950898520899,0.00935744173841258,0.019265392636933477
1,14396819.68870329,2.388680238973927e-17,0.009357441738412641,-0.009357441738412598,0.01871488347682524,14483968.288715009,-4.409966438203649e-17,-0.009357441738412641,0.00935744173841258,0.01871488347682522
2,15721568.995485628,2.388680238973927e-17,0.009357441738412641,-0.009357441738412598,0.01871488347682524,15373080.041818399,-4.409966438203649e-17,-0.009357441738412641,0.00935744173841258,0.01871488347682522
3,15417437.363612702,2.388680238973927e-17,0.009357441738412641,-0.009357441738412598,0.01871488347682524,15581365.192426035,-4.409966438203649e-17,-0.008797697913046219,0.00935744173841258,0.018155139651458797
4,15526993.778720804,2.388680238973927e-17,0.009357441738412641,-0.009357441738412598,0.01871488347682524,15656619.259247271,0.0006282151815625537,-0.008797697913046219,0.00935744173841258,0.018155139651458797
5,15469476.761297137,2.388680238973927e-17,0.008797697913046219,-0.009357441738412598,0.018155139651458818,15671452.763918024,-4.409966438203649e-17,-0.009357441738412641,0.00935744173841258,0.01871488347682522
6,15603594.752865573,2.388680238973927e-17,0.009357441738412641,-0.009357441738412598,0.01871488347682524,15559027.444256382,-4.409966438203649e-17,-0.009357441738412641,0.00935744173841258,0.01871488347682522
7,15527929.855459359,2.388680238973927e-17,0.009357441738412641,-0.009357441738412598,0.01871488347682524,15431638.029731631,-4.409966438203649e-17,-0.009357441738412641,0.00935744173841258,0.01871488347682522
