sigma,left peak dmdH_peak,left peak He_peak,left peak fwhm_left,left peak fwhm_right,left peak fwhm,right peak dmdH_peak,right peak He_peak,right peak fwhm_left,right peak fwhm_right,right peak fwhm,
0,6.9929E+12,2.39E-17,0.009907951,-0.009907951,0.019815902,6.89615E+12,-4.41E-17,-0.010448682,0.009907951,0.020356633,0.019815902
1,9.78944E+12,0.000628215,0.010448682,-0.009357442,0.019806124,9.65387E+12,-0.000628215,-0.010448682,0.009357442,0.019806124,0.019806124
2,1.62859E+13,2.39E-17,0.008797698,-0.008797698,0.017595396,1.61925E+13,-0.000628215,-0.008797698,0.008797698,0.017595396,0.017595396
3,1.90161E+13,-0.000628215,0.007652724,-0.008229272,0.015881996,1.84144E+13,0.000628215,-0.007652724,0.008797698,0.016450422,0.015881996
4,1.94823E+13,-0.000628215,0.007068625,-0.008229272,0.015297897,1.95939E+13,0.000628215,-0.007068625,0.008229272,0.015297897,0.015297897
5,2.02099E+13,-0.000628215,0.007068625,-0.008229272,0.015297897,2.00632E+13,0.000628215,-0.007068625,0.008229272,0.015297897,0.015297897
6,2.00043E+13,-0.000628215,0.007068625,-0.008229272,0.015297897,1.99142E+13,0.000628215,-0.007068625,0.008229272,0.015297897,0.015297897
7,2.00546E+13,-0.000628215,0.007068625,-0.008229272,0.015297897,1.97316E+13,0.000628215,-0.007068625,0.008229272,0.015297897,0.015297897
