sigma,left peak dmdH_peak,left peak He_peak,left peak fwhm_left,left peak fwhm_right,left peak fwhm,right peak dmdH_peak,right peak He_peak,right peak fwhm_left,right peak fwhm_right,right peak fwhm
0,7686411499842.598,2.388680238973927e-17,0.010448682107293699,-0.009357441738412598,0.0198061238457063,7453171652706.846,-4.409966438203649e-17,-0.01044868210729371,0.009907950898520822,0.020356633005814532
1,11783417113892.674,0.0006282151815625863,0.009907950898520881,-0.009357441738412598,0.019265392636933477,11686765526033.791,-0.0012558103905863044,-0.009907950898520899,0.00935744173841258,0.019265392636933477
2,17200960914219.885,-0.0006282151815625561,0.0076527244331946,-0.008797697913046174,0.01645042234624077,17351490253410.344,0.0006282151815625537,-0.007652724433194601,0.008797697913046156,0.016450422346240758
3,18538057834572.766,-0.001255810390586254,0.007068624729299711,-0.008797697913046174,0.015866322642345883,18180022206360.83,0.0006282151815625537,-0.007068624729299713,0.008797697913046156,0.01586632264234587
4,18685780434657.785,-0.001255810390586254,0.007068624729299711,-0.008797697913046174,0.015866322642345883,18812791128723.7,0.0006282151815625537,-0.007068624729299713,0.008797697913046156,0.01586632264234587
5,18742887641546.676,-0.0006282151815625561,0.007068624729299711,-0.008797697913046174,0.015866322642345883,18714851790813.74,0.001255810390586252,-0.007068624729299713,0.008797697913046156,0.01586632264234587
6,18686113131363.227,-0.001255810390586254,0.007068624729299711,-0.008797697913046174,0.015866322642345883,18840733008778.875,0.0006282151815625537,-0.007068624729299713,0.008797697913046156,0.01586632264234587
7,19119892706086.727,-0.0006282151815625561,0.007068624729299711,-0.008797697913046174,0.015866322642345883,18655630980433.836,0.001255810390586252,-0.007068624729299713,0.008797697913046156,0.01586632264234587
