Saturation,left peak dmdH_peak,left peak He_peak,left peak fwhm_left,left peak fwhm_right,right peak dmdH_peak,right peak He_peak,right peak fwhm_left,right peak fwhm_right
1,111.72413652054188,-0.006548715897479727,-0.001891569951683003,-0.010058991617741344,110.4461647418299,0.006892604180405213,0.001975649036314554,0.010066834949807743
2,117.35982464573983,-0.0013216613647098424,0.0030904482208562933,-0.005112682908380449,117.04547291453319,0.0012763781297064198,-0.002977968851438276,0.005068798504287464
3,145.0428834291001,-0.0014344910039052953,0.0025679784390257076,-0.004710696611144318,143.2325440986473,0.0011969425753092133,-0.0026088222438238654,0.004711375106208589
4,194.24741083679808,-0.0019103343886887145,0.0014219565688536795,-0.0044864847067352335,187.62622628864634,0.0018192766178708433,-0.0016342656424802055,0.004548373550512352
5,225.3605550777401,-0.002014549841795436,0.0011711567187460735,-0.004359846477696281,230.46302942726203,0.0020444148777596853,-0.0009320275652280864,0.004380965756607834
