Anis,left peak dmdH_peak,left peak He_peak,left peak fwhm_left,left peak fwhm_right,right peak dmdH_peak,right peak He_peak,right peak fwhm_left,right peak fwhm_right,fwhm left peak
0,145.744350294621,-0.00140524313457754,0.00252643119656553,-0.00474325788431436,144.93318022333,0.00130981870468667,-0.002596362587025,0.00474800529291114,7.26968908087988
1,144.81222435626,-0.00474529254871266,-0.000951553784133227,-0.00772045617631714,144.858479826517,0.00479885256355052,0.000922961516947315,0.00767083833585057,6.76890239218391
2,170.432808400935,-0.0108814681424045,-0.00758888020859028,-0.0135106387617188,170.403941220977,0.0107869885872676,0.00756626703941363,0.0134275495274632,5.92175855312851
3,175.200852114594,-0.0152482972823055,-0.0122325896732316,-0.0181131111075145,172.923213312032,0.0152866295392084,0.0123191212038256,0.018138193126083,5.88052143428293
