CoreSize,left peak dmdH_peak,left peak He_peak,left peak fwhm_left,left peak fwhm_right,left peak fwhm,right peak dmdH_peak,right peak He_peak,right peak fwhm_left,right peak fwhm_right,right peak fwhm
0,91954841.4238143,-0.0030117919853232234,-0.0001811647107641963,-0.005645215768891044,0.005464051058126848,91371028.62543839,0.0030249047064269063,0.0001776741539638078,0.005657939804986297,0.005480265651022489
1,106033164.63648792,-0.0027482344022324015,-0.00042484830216269896,-0.004850638783913274,0.004425790481750575,103908927.76031351,0.0028043211873329007,0.0004285120511486791,0.004922419728262454,0.004493907677113775
2,119720008.63382135,-0.0025897358054479715,-0.0007182900061557022,-0.004121389339968171,0.003403099333812469,115828012.53940582,0.00243397598240471,0.0004133552894800695,0.00407777024563242,0.003664414956152351
3,119392734.1706414,-0.002030594822416251,-0.0001154445525501243,-0.00317523279725279,0.0030597882447026656,117143083.07673886,0.0018249719827287578,-3.0979740053625846e-05,0.0031469704099713466,0.0031779501500249726
