CoreSize,left peak dmdH_peak,left peak He_peak,left peak fwhm_left,left peak fwhm_right,left peak fwhm,right peak dmdH_peak,right peak He_peak,right peak fwhm_left,right peak fwhm_right,right peak fwhm
0,364.42629408356515,-0.005389548746310365,-0.0027983558638430784,-0.007801528531787326,0.005003172667944248,361.3186103599362,0.005357942797113355,0.002761713682750108,0.00777130482057717,0.005009591137827062
1,440.12737357733585,-0.005106978510782923,-0.0030795179986949136,-0.006947423467299729,0.003867905468604815,450.6089023362015,0.0051576546552889865,0.0031568549933587266,0.006972933786202787,0.00381607879284406
2,569.2506028966429,-0.004855623522902544,-0.003413512621253426,-0.006083101529512208,0.002669588908258782,563.8755600576048,0.004910759741257051,0.0034453189968082117,0.006151307516188939,0.002705988519380727
