Field index,left peak dmdH_peak,left peak He_peak,left peak fwhm_left,left peak fwhm_right,left peak fwhm,right peak dmdH_peak,right peak He_peak,right peak fwhm_left,right peak fwhm_right,right peak fwhm
0,64218369.23244255,-0.00031310275608049297,0.002999368168833031,-0.0035510092541463107,0.006550377422979342,62552004.965405665,0.0003808120603074852,-0.0030732031887888817,0.0036670577679842812,0.006740260956773163
1,67794560.7356048,-0.00017514175669459473,0.0027235229535481705,-0.0030118419883305154,0.005735364941878686,68150250.34497285,0.0002165029814466146,-0.0026735619987856346,0.003070805786506854,0.005744367785292488
2,70278377.47606592,-9.16295216035511e-05,0.0025006165805509977,-0.002653402398948076,0.005154018979499074,70415677.87369214,0.00025531675984834625,-0.002382479003729644,0.0025850152281080684,0.0049674942318377125
3,65677854.052992344,-9.712254346744319e-05,0.0027265146301572413,-0.002558965548028865,0.005285480178186107,68619181.325419,-3.56920766516424e-05,-0.002436808738152238,0.0021925842712806837,0.004629393009432922
