sigma,left peak dmdH_peak,left peak He_peak,left peak fwhm_left,left peak fwhm_right,right peak dmdH_peak,right peak He_peak,right peak fwhm_left,right peak fwhm_right
0,119.96618123825482,-0.00018325904320706668,0.004875400163369856,-0.005213853779241969,120.69464089939252,0.0001881458087340483,-0.004846280296790968,0.005174076804516543
1,121.15447250019423,-0.000225145219613051,0.004810373352449503,-0.00522598473256943,119.28174555471338,0.00034311870986289254,-0.004756821156556094,0.0053639960897514955
2,114.28619784122057,-0.0007150914260257287,0.004566047674957788,-0.005853839312420581,116.158815041747,0.0007827634251222812,-0.004414337370012966,0.005862517063255291
3,104.34971626569852,-0.0014052431345775002,0.004276000556010014,-0.00693322093365898,107.9076997268098,0.001560499324146176,-0.0040089498588845585,0.006898502135985135
4,83.60343724874345,-0.003882332656667324,0.003148374213562519,-0.010368704166329318,82.79285042806067,0.003965165811835811,-0.0032386569686427636,0.010347801753186458
