sigma,left peak dmdH_peak,left peak He_peak,left peak fwhm_left,left peak fwhm_right,right peak dmdH_peak,right peak He_peak,right peak fwhm_left,right peak fwhm_right
0,142.27937945959894,-0.001066599929137509,0.003619005587953872,-0.00560501832624748,142.46542518271264,0.0012136674672508097,-0.003511153265756271,0.005758304886360744
1,135.55595680310836,-0.001451202691770099,0.0034169538193716434,-0.006105662237806165,139.22875945466203,0.0014435432938900616,-0.003379114418915665,0.0060504573412077
2,118.44161718179627,-0.002870920474591957,0.0026800992109953514,-0.008013141648089046,118.82475413214112,0.002751341547561811,-0.0027167622663887055,0.007917725101801488
3,98.85783584855237,-0.004214599876502517,0.002272759740836846,-0.010106020482513703,98.98703214954222,0.00430941214609977,-0.002226281224215659,0.010124690656268368
4,81.37019545109341,-0.009105087048236843,-6.806846536209891e-05,-0.013535328249263602,83.20329360770994,0.009101978927343499,0.0004457251362552531,0.0134647600245523
