sigma,left peak dmdH_peak,left peak He_peak,left peak fwhm_left,left peak fwhm_right,right peak dmdH_peak,right peak He_peak,right peak fwhm_left,right peak fwhm_right
0,140.34942835199365,-0.0011293376992762218,0.003614885820174338,-0.0057215225415702545,139.02711998056628,0.0011969425753092133,-0.0035853561882468986,0.005806424219121281
1,136.83820366687388,-0.0014135999796316705,0.003449967008682102,-0.006085714551043732,136.9653842491599,0.0014268311431177019,-0.00344515318627789,0.00608238928714293
2,114.46919564404641,-0.0032310785699819346,0.002472403240417525,-0.008417954127774137,113.85227166538667,0.0032565677068419575,-0.0024550826898646037,0.00840718675093034
3,93.5559975945624,-0.004814439144693663,0.0021145447395639703,-0.010497358238919063,95.90331007670368,0.004729692326149045,-0.002047192776284429,0.010383624987576574
4,85.06557162455614,-0.0092947725253545,-0.0016245241806464067,-0.013547658747628208,85.34361269961337,0.009094518306125227,0.001516646877558421,0.013470953511401103
