HydSize,left peak dmdH_peak,left peak He_peak,left peak fwhm_left,left peak fwhm_right,right peak dmdH_peak,right peak He_peak,right peak fwhm_left,right peak fwhm_right,FWHM left peak
0,139.42433108658,-0.00146373578989811,0.00279213427836735,-0.00485305333554574,142.035187231344,0.00128891877028749,-0.00267940736666502,0.00473172728495093,7.64518761391309
1,139.780811061224,-0.00160991126999248,0.00273820239296636,-0.00497892318424047,143.789149835056,0.00129309887097988,-0.00274166017827141,0.00467472817935197,7.71712557720683
2,142.507901352102,-0.00132584101616537,0.00262197298631668,-0.00490586267875557,142.821573466035,0.00169409740989146,-0.00262543351656954,0.00480088574518546,7.52783566507225
3,148.123272346695,-0.00133002060946163,0.00254305143364585,-0.00469441100951289,149.476297270221,0.00170661842192302,-0.0023635994969767,0.00463806464255275,7.23746244315874
4,147.989288577774,-0.00160156064132836,0.0024058821753482,-0.0047473271090327,148.949015311323,0.0013390761945451,-0.0024550826898646,0.00471544595600856,7.1532092843809
5,147.257369382421,-0.00165166014679943,0.00245161835496863,-0.0046781221130899,146.76566786258,0.00126383698522021,-0.00248002368694296,0.00464213918505787,7.12974046805854
