CoreSize,left peak dmdH_peak,left peak He_peak,left peak fwhm_left,left peak fwhm_right,right peak dmdH_peak,right peak He_peak,right peak fwhm_left,right peak fwhm_right,Fwhm-left peak
0,71.7570513482901,0.000712998342904119,0.00701762576755554,-0.00703135266678614,72.6668742841254,-0.000473643337591112,-0.00710710916439321,0.00701239548029937,14.0489784343417
1,151.018371401325,-0.00153892207017954,0.00236845215555527,-0.00468626697243587,146.541474567522,0.00148114191090543,-0.00249664884499126,0.0047357970987294,7.05471912799114
2,207.233219006976,-0.00574760678251588,-0.00306354494768983,-0.0083685265254693,204.095897310146,0.00575629915426448,0.00301455265194682,0.00839578277215843,5.30498157777947
3,224.097572734024,-0.00778030986192451,-0.00529872695814973,-0.0105223052347835,228.171470825567,0.00793118614090052,0.00545674704193588,0.0106011545908753,5.22357827663378
4,252.091275801263,-0.00898553693076652,-0.00669693437308908,-0.0114496121440147,252.3683408072,0.00892623493415576,0.00672126877506608,0.011457052389584,4.75267777092567
